"#","Reference","Qty","Value","Footprint","DNP"
"1","Bolt1, Bolt2, Bolt3","3","~","0JIMMY:M3_Bolt",""
"2","J1","1","Conn_01x06_Socket","Connector_FFC-FPC:TE_84953-6_1x06-1MP_P1.0mm_Horizontal",""
"3","J2","1","Conn_01x03_Socket","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"4","R1, R2, R3, R4, R7, R8, R9, R10, R11, R12, R13","11","100k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"5","R5, R6","2","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"6","SW1","1","~","SW_CODED:GSMR_16",""
"7","SW2","1","~","SW_CODED:GSMR_10S",""
"8","SW3","1","~","SW_CODED:Direction3 Pin5",""
"9","U1","1","PCF8575PWR","SOP65P640X120-24N",""
"10","U2","1","~","0JIMMY:OLED 0.96 i2c",""
